source_code,source_label_eng,source_label_kor,target_code,target_label_eng,target_label_kor,reason,raw_count
D000364,Iomeprol,이오메프롤,D000718,Metformin,메트포르민,기능적신부전에의해유산산성증촉진,20
D000718,Metformin,메트포르민,D000760,Iobitridol,이오비트리돌,기능적신부전에의해유산산성증촉진,20
D000718,Metformin,메트포르민,D000761,Iopromide,이오프로마이드,기능적신부전에의해유산산성증촉진,20
D000219,Rosuvastatin,로수바스타틴,D000334,Cyclosporine,사이클로스포린,혈중농도상승및근육병증/횡문근융해증위험성증가 / 근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능,20
D000669,Iohexol,이오헥솔,D000718,Metformin,메트포르민,기능적신부전에의해유산산성증촉진,19
D000165,Ioversol,이오베르솔,D000718,Metformin,메트포르민,급성신부전 / 기능적신부전에의해유산산성증촉진,19
D000219,Rosuvastatin,로수바스타틴,D000619,FusidicAcid,푸시딘산,횡문근융해증을포함한근육관련이상반응보고 / 횡문근융해증을포함한근육관련이상반응보 / 횡문근융해증|근무력증|동통발생가능,19
D000219,Rosuvastatin,로수바스타틴,D001072,Ledipasvir,레디파스비르,횡문근융해증을포함한근육병증위험증가가능,19
D000267,Iopamidol,이오파미돌,D000718,Metformin,메트포르민,급성신부전 / 기능적신부전에의해유산산성증촉진,18
D000032,IodisedOil,아이오다이즈드오일,D000718,Metformin,메트포르민,기능적신부전에의해유산산성증촉진,17
D000718,Metformin,메트포르민,D000831,Iodixanol,이오딕사놀,기능적신부전에의해유산산성증촉진,17
D000150,Atazanavir,아타자나비르,D000153,Esomeprazole,에스오메프라졸,아타자나비르의혈중농도감소,10
D000455,Atorvastatin,아토르바스타틴,D000619,FusidicAcid,푸시딘산,횡문근융해와같은중증의근육이상보고,9
D000455,Atorvastatin,아토르바스타틴,D001362,Glecaprevir,글레카프레비르,횡문근융해증을비롯한근육질환등중증이상반응 / 횡문근융해증을포함한근육병증위험가능,9
D000455,Atorvastatin,아토르바스타틴,D000762,Itraconazole,이트라코나졸,근육병증 / 근육병증|횡문근융해위험증가가능 / 근육병증|횡문근융해증|간효소이상발생위험증가,9
D000334,Cyclosporine,사이클로스포린,D000455,Atorvastatin,아토르바스타틴,혈중농도상승및근육병증/횡문근융해증위험성증가 / 근육병증|횡문근융해위험증가가능 / 근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능 / 근육병증|횡문근융해위험증가능,9
D000027,Simvastatin,심바스타틴,D000673,Cobicistat,코비시스타트,Simvastatin혈중농도증가|횡문근융해를비롯한근육병증 / 횡문근융해를포함한근육병증위험가능 / 근병증의위험증가가능 / 횡문근융해를포함한근육병과같은중대한반응가능 / 근육병증과같은이상사례초래가능,9
D000455,Atorvastatin,아토르바스타틴,D000769,Ketoconazole,케토코나졸,근육병증 / 근질환위험증가 / 근육병증|횡문근융해위험증가가능,8
D000405,Posaconazole,포사코나졸,D000455,Atorvastatin,아토르바스타틴,횡문근융해를비롯한근육병증발생가능성증가 / 근육병증|횡문근융해위험증가가능 / 횡문근융해증발생가능,8
D000314,Rifampicin,리팜피신,D001563,Doravirine,도라비린,-Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음 / -Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음,8
D000749,Ethinylestradiol,에티닐에스트라디올,D001174,Ombitasvir,옴비타스비르,ALT수치가정상치상한기준보다20배이상높게나타나는데영향이있음 / ALT수치상승이정상최고치(ULN)대비5배이상나오는빈도가유의적으로높게나타남 / ALT수치상승이정상치상한기준보다20배이상높게나타나는데영향이있음,6
D000749,Ethinylestradiol,에티닐에스트라디올,D001362,Glecaprevir,글레카프레비르,-ALT상승위험증가,5
D000268,IoxaglicAcid,이옥사글린산,D000718,Metformin,메트포르민,급성신부전 / 기능적신부전에의해유산산성증촉진,5
D000615,Lamivudine,라미부딘,D001419,Bictegravir,빅테그라비르,라미부딘이엠트리시타빈의세포내인산화를저해할수도있음|동일한역전사효소유전자(M184V)변이를통해바이러스내성기전이일어나므로|병용시치료효과가제한적일수있음 / 라미부딘이엠트리시타빈의세포내인산화를저해할수도있음|동일한역전사효소유전자(M184V)변이를통해바이러스내성기전이일어나므로병용시치료효과가제한적일수있음,5
D000314,Rifampicin,리팜피신,D001699,Neratinib,네라티닙,-강력한CYP3A4유도제와의병용으로Neratinib의혈중농도감소 / -중등도CYP3A/P-gp억제제와의병용으로Neratinib의혈중농도증가,5
D000150,Atazanavir,아타자나비르,D000469,Omeprazole,오메프라졸,아타자나비어효과감소및내성발현 / 아타자나비르의혈중농도감소,4
D000150,Atazanavir,아타자나비르,D000204,Rabeprazole,라베프라졸,아타자나비르의혈중농도감소,4
D000334,Cyclosporine,사이클로스포린,D000518,Pitavastatin,피타바스타틴,혈중농도상승및근육병증/횡문근융해증위험성증가 / 근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능 / 신기능악화를수반하는횡문근융해증발현가능,4
D000153,Esomeprazole,에스오메프라졸,D000225,Rilpivirine,릴피비린,위장pH의증가로릴피비린의흡수가저하되어릴피비린의치료효과감소,4
D000161,Irinotecan,이리노테칸,D000314,Rifampicin,리팜피신,-이리노테칸활성대사물(SN-38)의혈중농도가저하되어작용감소,4
D000518,Pitavastatin,피타바스타틴,D000619,FusidicAcid,푸시딘산,횡문근융해증|근무력증|동통발생가능 / 신기능악화를수반하는횡문근융해증발현가능 / 횡문근융해증을포함한근육관련이상반응보고,4
D000314,Rifampicin,리팜피신,D001701,Acalabrutinib,아칼라브루티닙,-강력한CYP3A유도제와의병용으로Acalabrutinib의혈중농도감소,4
D000314,Rifampicin,리팜피신,D000328,Bedaquiline,베다퀼린,-Bedaquiline의혈중농도와치료효과감소,4
D000314,Rifampicin,리팜피신,D001419,Bictegravir,빅테그라비르,-Bictegravir의혈중농도감소로인해치료효과소실및내성발현야기가능,4
D000314,Rifampicin,리팜피신,D001606,Brigatinib,브리가티닙,-Brigatinib의혈장농도를감소시킬수있음,4
D000314,Rifampicin,리팜피신,D001585,Cabozantinib,카보잔티닙,-Cabozantinib의혈장노출감소,4
D000314,Rifampicin,리팜피신,D001076,Ceritinib,세리티닙,-Ceritinib의혈장농도감소,4
D000314,Rifampicin,리팜피신,D001588,Entrectinib,엔트렉티닙,-Entrectinib의전신노출감소,4
D000314,Rifampicin,리팜피신,D001589,Gilteritinib,길테리티닙,-Gilteritinib의혈장농도감소,4
D000314,Rifampicin,리팜피신,D001590,Ibrutinib,이브루티닙,-Ibrutinib의혈중농도감소,4
D000314,Rifampicin,리팜피신,D001612,Isavuconazonium,이사부코나조늄,-Isavuconazonium의혈장농도를유의미하게감소시킬수있음,4
D000314,Rifampicin,리팜피신,D001711,Ixazomib,익사조밉,-Ixazomib의효과감소,4
D000314,Rifampicin,리팜피신,D001594,Midostaurin,미도스타우린,-Midostaurin과활성대사체의혈중농도감소,4
D000314,Rifampicin,리팜피신,D001598,Ponatinib,포나티닙,-Ponatinib의노출감소,4
D000314,Rifampicin,리팜피신,D001818,Praziquantel,프라지콴텔,-Praziquantel의치료적유효혈중농도에도달하지못할수있음,4
D000314,Rifampicin,리팜피신,D001562,Ranolazine,라놀라진,-Ranolazine의효과부족이발생될것으로예상됨,4
D000314,Rifampicin,리팜피신,D001418,Ribociclib,리보시클립,-강력한CYP3A유도제(Rifampicin)와의병용투여는건강한시험대상자에서Ribociclib의혈장노출을89%까지감소시킴,4
D000314,Rifampicin,리팜피신,D000679,Tamoxifen,타목시펜,-Tamoxifen의혈장농도를낮춤,4
D000314,Rifampicin,리팜피신,D001609,Venetoclax,베네토클락스,-강력한CYP3A유도제인Rifampicin과병용투여시Venetoclax의Cmax및AUC∞는각각42%및71%까지감소함,4
D000150,Atazanavir,아타자나비르,D000699,Lansoprazole,란소프라졸,아타자나비르의혈중농도감소,3
D000673,Cobicistat,코비시스타트,D001743,Finerenone,피네레논,Finerenone혈중농도의현저한증가가예상됨.,3
D000113,Haloperidol,할로페리돌,D000302,Levodopa,레보도파,Levodopa의치료효과감소,3
D000419,Lovastatin,로바스타틴,D000673,Cobicistat,코비시스타트,Lovastatin혈중농도증가|횡문근융해를비롯한근육병증 / 근육병증과같은이상사례초래가능 / 횡문근융해를포함한근육병과같은중대한반응가능,3
D000314,Rifampicin,리팜피신,D001650,Nirmatrelvir,니르마트렐비르,-바이러스반응의손실및내성발현의잠재적인가능성,3
D000027,Simvastatin,심바스타틴,D000334,Cyclosporine,사이클로스포린,혈중농도상승및근육병증/횡문근융해증위험성증가 / 근병증|횡문근융해위험성증가가능 / 근육통|근육약화|근염|때때로횡문근변성을포함한근육독성촉진가능,3
D000027,Simvastatin,심바스타틴,D001362,Glecaprevir,글레카프레비르,횡문근융해증을비롯한근육질환등중증이상반응 / 근병증의위험증가가능,3
D000027,Simvastatin,심바스타틴,D001650,Nirmatrelvir,니르마트렐비르,-횡문근융해증을포함하는근육병증의잠재적인가능성,3
D000259,Amiodarone,아미오다론,D001071,Sofosbuvir,소포스부비르,-중대한증상성서맥이나타날수있음.병용이필요한경우심장모니터링이권장됨,2
D000150,Atazanavir,아타자나비르,D000386,Pantoprazole,판토프라졸,아타자나비르의혈중농도감소,2
D000150,Atazanavir,아타자나비르,D000751,S-Pantoprazole,에스판토프라졸,아타자나비르의혈중농도감소,2
D000476,Carbamazepine,카르바마제핀,D001563,Doravirine,도라비린,-Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음 / -Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음,2
D000673,Cobicistat,코비시스타트,D001590,Ibrutinib,이브루티닙,-Ibrutinib의혈중농도감소,2
D000026,Cyproheptadine,시프로헵타딘,D000698,Rasagiline,라사길린,MAO저해제의효과를증가시킬수있음,2
D000026,Cyproheptadine,시프로헵타딘,D000139,SelegilineHydrochloride,셀레길린염산염,MAO저해제의효과를증가시킬수있음,2
D001079,Enzalutamide,엔잘루타마이드,D001563,Doravirine,도라비린,-Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음 / -Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음,2
D000699,Lansoprazole,란소프라졸,D001699,Neratinib,네라티닙,-위산억제제와의병용으로Neratinib의혈중농도감소,2
D000302,Levodopa,레보도파,D000425,Metoclopramide,메토클로프라미드,레보도파의효과감소,2
D000426,Metronidazole,메트로니다졸,D000719,Mizolastine,미졸라스틴,심실부정맥(Torsadedepointes) / mizolastine의혈중농도상승,2
D000953,Mitotane,미토테인,D001563,Doravirine,도라비린,-Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음 / -Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음,2
D000429,Moclobemide,모클로베미드,D000448,Pseudoephedrine,슈도에페드린,교감신경흥분제의작용증강또는연장 / 고혈압|빈맥유발,2
D001650,Nirmatrelvir,니르마트렐비르,D001781,Salmeterol,살메테롤,-QT연장|심계항진|동성빈맥(sinustachycardia)을포함하여살메테롤과관련된심혈관부작용의위험을증가시킬수있음,2
D000263,Oxcarbazepine,옥스카르바제핀,D001563,Doravirine,도라비린,-Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음 / -Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음,2
D000282,Phenobarbital,페노바르비탈,D001563,Doravirine,도라비린,-Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음 / -Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음,2
D000595,Phenytoin,페니토인,D001563,Doravirine,도라비린,-Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음 / -Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음,2
D000305,Pravastatin,프라바스타틴,D000619,FusidicAcid,푸시딘산,횡문근융해증|근무력증|동통발생가 / 횡문근융해증을포함한근육관련이상반응보고,2
D000314,Rifampicin,리팜피신,D001071,Sofosbuvir,소포스부비르,-Sofosbuvir|Velpatasvir및/또는Voxilaprevir의혈중농도를감소시켜치료효과를감소시킬가능성이있음 / -Sofosbuvir및/또는Velpatasvir의혈중농도를감소시켜치료효과를감소시킬가능성이있음,2
D000225,Rilpivirine,릴피비린,D001367,Tegoprazan,테고프라잔,위장pH의증가로rilpivirine의흡수가저하되어rilpivirine의치료효과감소,2
D000246,Sildenafil,실데나필,D001650,Nirmatrelvir,니르마트렐비르,-Sildenafil의혈중농도를증가시킬수있음-시각이상|저혈압|발기시간지연및실신을포함한Sildenafil관련이상반응의가능성 / -Sildenafil관련이상반응(시각이상|저혈압|발기시간지연및실신포함)의가능성,2
D000027,Simvastatin,심바스타틴,D000150,Atazanavir,아타자나비르,횡문근융해증을비롯한근육질환등중증이상반응 / 횡문근융해증을비롯한근육질한위험성증가가능,2
D000027,Simvastatin,심바스타틴,D000373,Clarithromycin,클래리트로마이신,근병증|횡문근융해의위험증가 / 횡문근융해증보고,2
D000027,Simvastatin,심바스타틴,D000395,Darunavir,다루나비르,근병증/횡문근융해 / 횡문근융해를포함한근질환의위험가능,2
D000027,Simvastatin,심바스타틴,D000762,Itraconazole,이트라코나졸,횡문근융해증 / 근병증의위험증가가능,2
D000027,Simvastatin,심바스타틴,D000769,Ketoconazole,케토코나졸,근병증|횡문근융해의위험증가 / 근병증의위험증가가능,2
D000027,Simvastatin,심바스타틴,D000626,Lopinavir,로피나비르,횡문근융해증을비롯한근육질환등중증이상반응 / 횡문근융해를포함한근육병증위험가능,2
D000027,Simvastatin,심바스타틴,D000405,Posaconazole,포사코나졸,근병증및횡문근융해 / 횡문근융해증발생가능,2
D000027,Simvastatin,심바스타틴,D000712,Ritonavir,리토나비르,횡문근융해증을비롯한근육질환등중증이상반응 / 횡문근융해를포함한근육병증위험가능,2
D000447,St.JohnsWort,세인트존스워트,D001563,Doravirine,도라비린,-Doravirine의혈장농도가유의하게감소하여약효가떨어질수있음 / -Doravirine의혈장농도가감소하여Doravirine의치료효과가줄어들수있음,2
D000447,St.JohnsWort,세인트존스워트,D001650,Nirmatrelvir,니르마트렐비르,-바이러스반응의손실및내성발현의잠재적인가능성,2
D000650,Sumatriptan,수마트립탄,D000747,Ergotamine,에르고타민,혈압상승및맥각독성(말초혈관수축증가)위험 / 상가적인혈관경련,2
D000481,Tafluprost,타플루프로스트,D001407,Omidenepagisopropyl,오미데네팍이소프로필,중등도이상의눈부심|홍채염등의안염증이유발될우려가있음,2
D000592,Triazolam,트리아졸람,D000712,Ritonavir,리토나비르,진정작용의연장또는증가|호흡저하,2
D000146,Abiraterone,아비라테론,D001314,Radium223dichloride,라듐-223염화물,골절및사망률증가,1
D000031,Acemetacin,아세메타신,D000298,Diflunisal,디플루니살,중증의위장관계이상반응,1
D000031,Acemetacin,아세메타신,D000274,Ketorolac,케토롤락,중증의위장관계이상반응,1
D000019,Acitretin,아시트레틴,D000820,Alitretinoin,알리트레티노인,-비타민A과다증,1
D000019,Acitretin,아시트레틴,D000503,Doxycycline,독시사이클린,두개내압증가,1
D000019,Acitretin,아시트레틴,D000758,Isotretinoin,이소트레티노인,-비타민A과다증,1
D000019,Acitretin,아시트레틴,D000158,Methacycline,메타사이클린,두개내고혈압,1
D000019,Acitretin,아시트레틴,D000716,Methotrexate,메토트렉세이트,간독성,1
D000019,Acitretin,아시트레틴,D000127,Minocycline,미노사이클린,두개내압증가,1
D000019,Acitretin,아시트레틴,D000754,Oxytetracycline,옥시테트라사이클린,두개내압증가,1
D000019,Acitretin,아시트레틴,D000064,Tetracycline,테트라사이클린,두개내압증가,1
D000019,Acitretin,아시트레틴,D000182,Tigecycline,타이제사이클린,-두개내압상승위험,1
D000019,Acitretin,아시트레틴,D000488,Tretinoin,트레티노인,-비타민A과다증,1
D000028,Adefovirdipivoxil,아데포비어디피복실,D001419,Bictegravir,빅테그라비르,양쪽약물모두혈장농도상승가능,1
D000028,Adefovirdipivoxil,아데포비어디피복실,D001563,Doravirine,도라비린,뉴클레오시드유사체단독투여또는다른항레트로바이러스제를병용투여했을때치명적인사례를포함한유산산증과지방증을동반한중증간비대가보고됨,1
D000028,Adefovirdipivoxil,아데포비어디피복실,D000665,Emtricitabine,엠트리시타빈,양쪽약물모두혈장농도상승가능,1
D000658,Alendronate,알렌드론산,D001552,Burosumab,부로수맙,-고인산혈증발생가능,1
D000151,Alfacalcidol,알파칼시돌,D001552,Burosumab,부로수맙,-고인산혈증발생가능,1
D000151,Alfacalcidol,알파칼시돌,D000175,Calcifediol,칼시페디올,고칼슘혈증,1
D000875,Alfentanil,알펜타닐,D001697,Lorlatinib,롤라티닙,Alfentanil의혈중농도가감소될수있음.,1
D001030,Alfuzosin,알푸조신,D001650,Nirmatrelvir,니르마트렐비르,-저혈압의가능성,1
D000745,Almotriptan,알모트립탄,D000747,Ergotamine,에르고타민,상가적인혈관수축반응|혈압상승,1
D000660,Alprazolam,알프라졸람,D000762,Itraconazole,이트라코나졸,alprazolam의혈장농도증가|수면및진정작용증강및연장,1
D000660,Alprazolam,알프라졸람,D000769,Ketoconazole,케토코나졸,alprazolam의혈장농도증가|수면및진정작용증강및연장,1
D001261,Alteplase,알테플라제,D001561,Defibrotide,데피브로타이드,출혈위험증가,1
D000255,Altretamine,알트레타민,D000413,Pyridoxine,피리독신,피리독신은신경독성을현저하게감소시켰으나반응기간에는역효과|알트레타민의치료효과감소,1
D000343,Amantadine,아만타딘,D000584,Chlorpromazine,클로르프로마진,항콜린작용증가,1
D000343,Amantadine,아만타딘,D000719,Mizolastine,미졸라스틴,QT간격연장,1
D000343,Amantadine,아만타딘,D000781,Perphenazine,페르페나진,amantadine의효과저해,1
D000159,Amiloride,아미로라이드,D000565,PotassiumChloride,염화칼륨,고칼륨혈증,1
D000159,Amiloride,아미로라이드,D000279,Tacrolimus,타크로리무스,고칼륨혈증,1
D000029,AminocaproicAcid,아미노카프론산,D000777,Thrombin,트롬빈,혈전형성,1
D000259,Amiodarone,아미오다론,D001821,Agalsidaseα,아갈시다제알파,Amiodarone은세포내알파-갈락토시다제활성을저해할가능성있음,1
D000259,Amiodarone,아미오다론,D000673,Cobicistat,코비시스타트,Amiodarone혈중농도증가,1
D000259,Amiodarone,아미오다론,D000319,Dolasetron,돌라세트론,Torsadedepointes위험증가,1
D000259,Amiodarone,아미오다론,D000417,Hydroxychloroquine,히드록시클로로퀸,심실성부정맥|서맥|심장전도장애를포함한심장부정맥위험성증가,1
D000259,Amiodarone,아미오다론,D000362,Imipramine,이미프라민,Torsadedepointes위험증가,1
D000259,Amiodarone,아미오다론,D000763,Indinavir,인디나빌,부정맥|혈액장애|경련등,1
D000259,Amiodarone,아미오다론,D000719,Mizolastine,미졸라스틴,QT연장|심실성부정맥,1
D000259,Amiodarone,아미오다론,D001650,Nirmatrelvir,니르마트렐비르,-심장부정맥의가능성,1
D000259,Amiodarone,아미오다론,D000466,Nortriptyline,노르트립틸린,Torsadedepointes위험증가,1
D000259,Amiodarone,아미오다론,D000513,Pentamidin,펜타미딘,심실부정맥(Torsadedepointes)위험증가,1
D000259,Amiodarone,아미오다론,D001418,Ribociclib,리보시클립,-QT간격연장을유발할수있음,1
D000259,Amiodarone,아미오다론,D000712,Ritonavir,리토나비르,부정맥|혈액장애|발작등중대한이상반응,1
D000030,Amisulpride,아미설프리드,D000259,Amiodarone,아미오다론,심실성부정맥(특히torsadesdepointes),1
D000030,Amisulpride,아미설프리드,D000541,Bromocriptine,브로모크립틴,길항작용,1
D000030,Amisulpride,아미설프리드,D000513,Pentamidin,펜타미딘,심실성부정맥(특히torsadesdepointes)위험증가,1
D000030,Amisulpride,아미설프리드,D000620,Pramipexole,프라미펙솔,길항작용,1
D000248,Amoxapine,아목사핀,D000251,Articaine,아티카인,리듬장애를수반한발작성고혈압,1
D000144,Anastrozole,아나스트로졸,D000664,Estrogens,에스트로겐,anastrozole의약리작용감소,1
D000144,Anastrozole,아나스트로졸,D000679,Tamoxifen,타목시펜,anastrozole의혈장농도감소,1
D000452,Aspirin,아스피린,D000716,Methotrexate,메토트렉세이트,혈액학적독성,1
D000150,Atazanavir,아타자나비르,D000695,Dexlansoprazole,덱스란소프라졸,아타자나비르의혈중농도감소,1
D000150,Atazanavir,아타자나비르,D000202,Dihydroergotamine,디히드로에르고타민,맥각독성(말초혈관경련|사지와기타조직의허혈|감각이상등)위험증가,1
D000150,Atazanavir,아타자나비르,D001171,Elbasvir,엘바스비르,그라조프레비르의혈장농도가유의하게증가하여ALT상승위험증가가능,1
D000150,Atazanavir,아타자나비르,D000747,Ergotamine,에르고타민,맥각독성(말초혈관경련|사지와기타조직의허혈|감각이상등)위험증가,1
D000150,Atazanavir,아타자나비르,D000350,Ezetimibe,에제티미브,근증/횡문근변성의위험성이증가,1
D000150,Atazanavir,아타자나비르,D001648,Fexuprazan,펙수프라잔,-위내pH증가로인한Atazanavir의생체이용률감소,1
D000150,Atazanavir,아타자나비르,D001362,Glecaprevir,글레카프레비르,Glecaprevir의혈장농도가유의하게증가하여ALT상승위험증가가능,1
D000150,Atazanavir,아타자나비르,D000168,Ilaprazole,일라프라졸,아타자나비르의혈중농도감,1
D000150,Atazanavir,아타자나비르,D000161,Irinotecan,이리노테칸,골수기능억제|설사등부작용증강,1
D000150,Atazanavir,아타자나비르,D000419,Lovastatin,로바스타틴,횡문근융해증을비롯한근육질환등중증이상반응,1
D000150,Atazanavir,아타자나비르,D000228,Methylergometrine,메틸에르고메트린,맥각독성(말초혈관경련|사지와기타조직의허혈|감각이상등)위험증가,1
D000150,Atazanavir,아타자나비르,D000213,Pimozide,피모짓,QT연장|심실성빈맥|심실세동및torsadesdepointes등심독성위험증가,1
D000150,Atazanavir,아타자나비르,D000301,Revaprazan,레바프라잔,아타자나비르의혈중농도감소,1
D000150,Atazanavir,아타자나비르,D001367,Tegoprazan,테고프라잔,위장pH의증가로atazanavir의흡수가저하되어atazanavir의치료효과감소,1
D000737,Avanafil,아바나필,D001723,isosorbidedinitrate,이소소르비드이질산염,혈압강하작용증가,1
D000737,Avanafil,아바나필,D001722,isosorbidemononitrate,이소소르비드일질산염,혈압강하작용증가,1
D000250,Azathioprine,아자티오프린,D001003,Tofacitinib,토파시티닙,면역억제효과증가,1
D000742,Azithromycin,아지트로마이신,D000747,Ergotamine,에르고타민,맥각독성(혈관경련|말단및기타조직허혈등)위험증가,1
D000328,Bedaquiline,베다퀼린,D001081,Rifabutin,리파부틴,-Bedaquiline의혈중농도와치료효과감소,1
D000020,Blonanserin,블로난세린,D000673,Cobicistat,코비시스타트,Blonanserin혈중농도증가,1
D000020,Blonanserin,블로난세린,D000626,Lopinavir,로피나비르,Blonanserin농도의증가로신경학적또는기타의독성가능성증가,1
D000015,Bosentan,보센탄,D000690,Glibenclamide,글리벤클라미드,간독성및간효소치상승,1
D000015,Bosentan,보센탄,D001650,Nirmatrelvir,니르마트렐비르,-Bosentan의혈중농도를증가시키고|Nirmatrelvir+Ritonavir의혈중농도를감소시킬수있음,1
D000015,Bosentan,보센탄,D000279,Tacrolimus,타크로리무스,보센탄의혈중농도증가,1
D000015,Bosentan,보센탄,D001609,Venetoclax,베네토클락스,-CYP3A유도제와의병용은Venetoclax의노출을감소시켜결과적으로효능부족을초래할수있음,1
D000541,Bromocriptine,브로모크립틴,D000755,Octreotide,옥트레오티드,bromocriptinemesylate혈중농도상승,1
D000541,Bromocriptine,브로모크립틴,D000778,Thiothixene,티오틱센,bromocryptine의효과저해,1
D000238,Bromperidol,브롬페리돌,D000343,Amantadine,아만타딘,항콜린작용증가,1
D000238,Bromperidol,브롬페리돌,D000541,Bromocriptine,브로모크립틴,지발성운동장애촉진|bromocryptine의작용감약,1
D000238,Bromperidol,브롬페리돌,D000560,Epinephrine,에피네프린,혈압강하,1
D000018,BupropionHydrochloride,부프로피온염산염,D000505,Diethylpropion,디에틸프로피온,판막심장병위험,1
