code,label_eng,label_kor,degree,is_age_contra,age_rule,age_reason,is_preg_contra,preg_grade,preg_reason,is_elderly_caution,elderly_reason
D000314,Rifampicin,리팜피신,45,True,8세미만,흡인위험과에탐부톨로인한시력변화평가가어려울수있음,True,2등급,(Rifampicin)동물실험에서기형발생보고|(Isoniazid)동물실험(마우스)에서태자발육장애가보고|(Pyrazinamide)임부에대한안전성미확립 / (Rifampicin)동물실험에서기형발생보고(Isoniazid)동물실험(마우스)에서태자발육장애가보고 / (Rifampicin)동물실험에서기형발생보고|(Pyrazinamide)임부에대한안전성미확립|(Isoniazid)동물실험(마우스)에서태자발육장애가보고|(Ethambutol)임부에대한안전성미확립 / 동물실험에서기형발생보고,False,-
D001650,Nirmatrelvir,니르마트렐비르,40,False,-,-,True,2등급,-임부에대한안전성미확립-사람에서Ritonavir의태반전달및태아노출관찰-동물실험에서골화지연|발달변이|태자체중감소관찰,False,-
D000139,SelegilineHydrochloride,셀레길린염산염,40,False,-,-,True,2등급,임부에대한안전성미확립.,False,-
D000476,Carbamazepine,카르바마제핀,29,False,-,-,True,2등급,동물실험에서과량투여시태아사망률증가|결함발생등보고.간질여성의자식에이분척추및기타선천성기형(예|두개안면결함|심혈관기형|요도하열|각종신체기관의이상)및성장장애와의관련보고.,False,-
D000274,Ketorolac,케토롤락,29,True,16세이하 / 2세미만,안전성및유효성미확립,True,2등급,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서난산발생빈도증가|분만지연|태아생존율감소보고.,False,-
D000429,Moclobemide,모클로베미드,29,False,-,-,False,-,-,False,-
D000762,Itraconazole,이트라코나졸,28,False,-,-,True,2등급,임부에대한안전성미확립.동물실험에서고용량투여시태자기형발생증가|배자독성유발됨.,False,-
D000595,Phenytoin,페니토인,28,False,-,-,True,2등급,역학조사에서기형아(구순열|구개열|심기형)출산|태아의종창(신경아세포증)|히단토인증후군|신생아출혈경향등보고.,False,-
D000447,St.JohnsWort,세인트존스워트,27,False,-,-,True,2등급,(정제|액제)임부에서사용경험이충분하지않음,False,-
D000213,Pimozide,피모짓,26,False,-,-,True,2등급,임부에대한안전성미확립.임신3기에투여시신생아에서추체외로장애|금단증상(초조|근육긴장항진또는저하|진전등)보고.,True,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여
D000201,Dronedarone,드로네다론,25,False,-,-,True,2등급,동물실험에서기형유발.,False,-
D000113,Haloperidol,할로페리돌,24,False,-,-,True,2등급,기형발생의심증례보고.임신말기나분만중투여시신생아에서기면|진전|과흥분성나타날수있음.임신3기에복용시신생아에서추체외로장애|금단증상(초조|근육긴장항진또는저하|진전등)보고.,True,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여
D000747,Ergotamine,에르고타민,23,False,-,-,True,1등급,주석산에르고타민의자궁수축및혈관수축작용.,False,-
D000150,Atazanavir,아타자나비르,22,True,3개월이하,핵황달의위험나타날수있음,False,-,-,False,-
D000202,Dihydroergotamine,디히드로에르고타민,22,False,-,-,True,1등급,(경구)임부에대한안전성미확립.(주사)동물실험에서고용량투여시자궁평활근및태반의혈류량을감소시켜태자의성장장애가능성보고.,False,-
D000259,Amiodarone,아미오다론,21,False,-,-,True,2등급,임부에대한안전성미확립.부정맥위험이증가될수있으므로진통및분만중에사용시모니터링필요.,False,-
D000673,Cobicistat,코비시스타트,20,True,36개월미만 / 3개월미만,안전성및유효성미확립생후23-26일랫트에서사망관찰됨. / 핵황달의위험나타날수있음.,True,2등급,임부에대한안전성미확립 / 임신한여성을포함한환자들에게투여시고빌리루빈혈증이흔하게발생함 / 임신중약물노출감소.임신기간중이약투여를시작하면안됨,False,-
D000712,Ritonavir,리토나비르,20,False,-,-,False,-,-,False,-
D000443,Voriconazole,보리코나졸,20,False,-,-,True,2등급,임부에대한안전성미확립.동물실험에서생식독성관찰됨.,False,-
D000256,Erythromycin,에리트로마이신,16,False,-,-,True,2등급,-,False,-
D000027,Simvastatin,심바스타틴,16,False,-,-,True,1등급,태아발육에필수적인콜레스테롤의생합성감소가능성. / 임부에대한안전성은확립되어있지않다.임부를대상으로심바스타틴을투여한대조임상시험은수행되지않았다.드물게|HMG-CoA환원효소저해제가자궁내에노출된후|선천성기형이드물게보고되었다,False,-
D000373,Clarithromycin,클래리트로마이신,15,False,-,-,True,2등급,-,False,-
D000334,Cyclosporine,사이클로스포린,15,False,-,-,True,2등급,임부에대한안전성미확립.동물실험에서생식독성보고.37주미만의미숙아출산위험성높음.,False,-
D000560,Epinephrine,에피네프린,15,False,-,-,True,2등급,태아의산소결핍초래가능성.,False,-
D000769,Ketoconazole,케토코나졸,14,False,-,-,True,2등급,동물실험에서고용량투여시기형발생(합지증|핍지증)보고.임신첫3분기에노출된태아에서사지결손보고.,False,-
