DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
23,병용금기,단일,D000353,Paroxetine,파록세틴,-,[M050607]염산파록세틴/[M102324]무수염산파록세틴/[M222896]파록세틴염산염수화물/[M234807]파록세틴염산염반수화물,[01170]정신신경용제,-,20090303,세로토닌성증후군(고혈압|고열|간대성근경련|정신상태변화등),-,-,-,-,-,단일,D000139,SelegilineHydrochloride,셀레길린염산염,-,[M222864]셀레길린염산염,[01190]기타의중추신경용약,-,정상,-,
29,병용금기,단일,D000455,Atorvastatin,아토르바스타틴,-,[I004369]아토르바스타틴칼슘수화물/[M093499]아토르바스타틴칼슘/[M213543]무수아토르바스타틴칼슘/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M244955]아토르바스타틴스트론튬/[M247057]아토르바스타틴칼슘염무수물/[M251687]아토르바스타틴칼슘/[M256664]아토르바스타틴칼슘수화물/[M263837]아토르바스타틴,[02180]동맥경화용제,-,20090303,근육병증,-,-,-,-,-,단일,D000769,Ketoconazole,케토코나졸,-,[M080618]케토코나졸,[02650]기생성피부질환용제/[06290]기타의화학요법제/[06410]항원충제,-,정상,-,
31,병용금기,복합,D000747,Ergotamine,에르고타민,[D001266]AnhydrousCaffeine(카페인무수물),[M040398]주석산에르고타민/[M223126]에르고타민타르타르산염/[M223183]카페인무수물,[01140]해열.진통.소염제,-,20090303,혈압상승및맥각독성(말초혈관수축증가)위험,-,-,-,-,-,단일,D000650,Sumatriptan,수마트립탄,-,[M089467]호박산수마트립탄/[M246956]수마트립탄숙신산염,[01140]해열.진통.소염제,-,정상,-,
33,병용금기,단일,D000202,Dihydroergotamine,디히드로에르고타민,-,[M086240]디히드로에르고타민메실레이트,[01140]해열.진통.소염제/[02190]기타의순환계용약,-,20090303,맥각독성(혈관경련|말단및기타조직허혈)위험증가,-,-,-,-,-,단일,D000628,Roxithromycin,록시트로마이신,-,[M082720]록시스로마이신/[M104917]록시스로마이신제피세립/[M222840]록시트로마이신/[M222994]록시트로마이신/[M243529]제피된록시트로마이신,[06140]주로그람양성균|리케치아|비루스에작용하는것,-,정상,-,
35,병용금기,단일,D000762,Itraconazole,이트라코나졸,-,[M083733]이트라코나졸제피과립/[M083734]이트라코나졸/[M092870]이트라코나졸고체분산체/[M201487]이트라코나졸고체분산/[M201624]제피이트라코나졸과립,[06290]기타의화학요법제,-,20090303,횡문근융해증,-,-,-,-,-,단일,D000419,Lovastatin,로바스타틴,-,[M083392]로바스타틴,[02180]동맥경화용제,-,정상,-,
41,병용금기,단일,D000660,Alprazolam,알프라졸람,-,[M211313]알프라졸람/[M261118]알프라졸람,[01170]정신신경용제,-,20090303,alprazolam의혈장농도증가|수면및진정작용증강및연장,-,-,-,-,-,단일,D000769,Ketoconazole,케토코나졸,-,[M080618]케토코나졸,[02650]기생성피부질환용제/[06290]기타의화학요법제/[06410]항원충제,-,정상,-,
65,병용금기,단일,D000719,Mizolastine,미졸라스틴,-,[M089840]미졸라스틴,[01410]항히스타민제,-,20090303,말초혈관경련|사지허혈|감각이상등,-,-,-,-,-,단일,D000628,Roxithromycin,록시트로마이신,-,[M082720]록시스로마이신/[M104917]록시스로마이신제피세립/[M222840]록시트로마이신/[M222994]록시트로마이신/[M243529]제피된록시트로마이신,[06140]주로그람양성균|리케치아|비루스에작용하는것,-,정상,-,
69,병용금기,단일,D000259,Amiodarone,아미오다론,-,[A005259]아미오다론,[02120]부정맥용제,-,20090303,심실부정맥(Torsadedepointes)위험증가,-,-,-,-,-,단일,D000256,Erythromycin,에리트로마이신,-,[M020095]에리스로마이신/[M020096]락토비온산에리스로마이신/[M020099]에리스로마이신에스톨레이트/[M020201]프로피온산에리스로마이신/[M223129]에리트로마이신/[M223130]에리트로마이신스테아르산염/[M223131]에리트로마이신에스톨산염/[M223132]에리트로마이신에틸숙시네이트/[M251863]에리트로마이신락토비온산염/[M256206]에리트로마이신장용피입자/[M257644]에리트로마이신스티노프레이트,[06110]주로그람양성균에작용하는것/[06140]주로그람양성균|리케치아|비루스에작용하는것/[06150]주로그람양성|음성균|리케치아|비루스에작용하는것,-,정상,-,
79,병용금기,단일,D000256,Erythromycin,에리트로마이신,-,[M020095]에리스로마이신/[M020096]락토비온산에리스로마이신/[M020099]에리스로마이신에스톨레이트/[M020201]프로피온산에리스로마이신/[M223129]에리트로마이신/[M223130]에리트로마이신스테아르산염/[M223131]에리트로마이신에스톨산염/[M223132]에리트로마이신에틸숙시네이트/[M251863]에리트로마이신락토비온산염/[M256206]에리트로마이신장용피입자/[M257644]에리트로마이신스티노프레이트,[06110]주로그람양성균에작용하는것/[06140]주로그람양성균|리케치아|비루스에작용하는것/[06150]주로그람양성|음성균|리케치아|비루스에작용하는것,-,20090303,병용을하여도항균작용이증가되지않음,-,-,-,-,-,단일,D000770,Chloramphenicol,클로람페니콜,-,[M020122]클로람페니콜/[M223202]클로람페니콜나트륨숙시네이트,[06150]주로그람양성|음성균|리케치아|비루스에작용하는것,-,정상,-,
81,병용금기,단일,D000256,Erythromycin,에리트로마이신,-,[M020095]에리스로마이신/[M020096]락토비온산에리스로마이신/[M020099]에리스로마이신에스톨레이트/[M020201]프로피온산에리스로마이신/[M223129]에리트로마이신/[M223130]에리트로마이신스테아르산염/[M223131]에리트로마이신에스톨산염/[M223132]에리트로마이신에틸숙시네이트/[M251863]에리트로마이신락토비온산염/[M256206]에리트로마이신장용피입자/[M257644]에리트로마이신스티노프레이트,[06110]주로그람양성균에작용하는것/[06140]주로그람양성균|리케치아|비루스에작용하는것/[06150]주로그람양성|음성균|리케치아|비루스에작용하는것,-,20090303,병용을하여도항균작용이증가되지않음,-,-,-,-,-,단일,D000678,Clindamycin,클린다마이신,-,[M223227]클린다마이신염산염,[02550]비뇨생식기관용제(성병예방제포함)/[06190]기타의항생물질제제(복합항생물질제제를포함),-,정상,-,
