DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
496,특정연령대금기,단일,D000025,Cyclopentolate,시클로펜톨레이트,-,[M050612]염산시클로펜톨레이트/[M223084]시클로펜톨레이트염산염,[01310]안과용제,-,20140109,-영아|유아|경련성마비또는뇌손상이있는소아에서이약의감수성증가가보고됨-신생아에투여시음식섭취과민증(feedingintolerance)이뒤따를수있으므로투여후4시간동안음식섭취억제필요,점안용액제/용액용점안분말제/현탁액점안제/안연고제/안겔/점안주사제,1세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
497,특정연령대금기,단일,D000026,Cyproheptadine,시프로헵타딘,-,[M040335]염산시프로헵타딘/[M081195]오로트산시프로헵타딘/[M094432]시프로헵타딘/[M223093]시프로헵타딘염산염수화물/[M254960]시프로헵타딘오로트산염수화물,[01410]항히스타민제,-,20140109,안전성및유효성미확립,정제,2세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
476,특정연령대금기,단일,D000030,Amisulpride,아미설프리드,-,[M089148]아미설프리드,[01170]정신신경용제,-,20140109,안전성및유효성미확립,정제/액상시럽제/건조시럽용과립제,15세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4088,특정연령대금기,단일,D000033,Acamprosate,아캄프로세이트,-,[M102626]아캄프로세이트칼슘,[01190]기타의중추신경용약,-,20190522,65세이상에서안전성및유효성미확립.연령이높아질수록신장기능이저하되어이약이축적될수있음.,정제,65세이상,-,-,-,-,-,-,-,-,-,-,-,정상,-,
602,특정연령대금기,단일,D000040,Ritodrine,리토드린,-,[M050378]염산리토드린,[02590]기타의비뇨생식기관및항문용약,-,20140109,_,캡슐/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제,65세이상,-,-,-,-,-,-,-,-,-,-,-,정상,-,
603,특정연령대금기,단일,D000040,Ritodrine,리토드린,-,[M050378]염산리토드린,[02590]기타의비뇨생식기관및항문용약,-,20140109,_,캡슐/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제,12세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
625,특정연령대금기,단일,D000812,Ferucarbotran,페루카르보트란,-,[M096213]페루카르보트란,[07210]X선조영제,-,20140109,_,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,18세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
622,특정연령대금기,단일,D000064,Tetracycline,테트라사이클린,-,[M223235]테트라사이클린염산염,[06150]주로그람양성|음성균|리케치아|비루스에작용하는것,-,20140109,소아등(특히치아형성기인12세미만의소아)에투여시|치아의착색？법랑질형성부전|또는일과성골발육부전을일으킬수있음,캡슐,12세미만,-,-,-,-,-,-,-,-,-,-,다만|다른약을사용할수없거나효과가없는경우에만8세이상신중투여,정상,-,
507,특정연령대금기,단일,D000065,Topiramate,토피라메이트,-,[M087104]토피라메이트,[01130]항전간제,-,20140109,안전성및유효성미확립,정제/캡슐,2세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
506,특정연령대금기,단일,D000805,Timonacic,티모나식,-,[M051587]티모나식,[03910]간장질환용제,-,20140109,_,정제/캡슐,12세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
548,특정연령대금기,단일,D000170,Gemifloxacin,제미플록사신,-,[A005170]제미플록사신,[06290]기타의화학요법제,-,20140109,-안전성및유효성미확립-퀴놀론계항균제는몇몇어린동물종에서관절병증|뼈연골증을유발,정제/용액용동결건조분말주사제,18세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
519,특정연령대금기,복합,D000177,Codeine,코데인,[D000147]Acetaminophen(아세트아미노펜)/[D000363]Ibuprofen(이부프로펜),[M040353]아세트아미노펜/[M051259]이부프로펜/[M071015]이부프로펜리신/[M082309]아세트아미노펜제피세립/[M086772]이부프로펜제피세립/[M206948]인산코데인/[M209277]이부프로펜아르기닌/[M223188]코데인인산염수화물/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M246943]이부프로펜나트륨이수화물/[M262287]아세트아미노펜과립,[08110]아편알카로이드계제제,-,20141104,코데인이모르핀으로대사되는과정이다양하고예측불가능하여모르핀으로인한독성이나타날위험이있음,캡슐,12세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
517,특정연령대금기,단일,D000177,Codeine,코데인,-,[M206948]인산코데인/[M223188]코데인인산염수화물,[08110]아편알카로이드계제제,-,20141104,코데인이모르핀으로대사되는과정이다양하고예측불가능하여모르핀으로인한독성이나타날위험이있음,정제,12세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
518,특정연령대금기,복합,D000177,Codeine,코데인,[D000147]Acetaminophen(아세트아미노펜),[M040353]아세트아미노펜/[M082309]아세트아미노펜제피세립/[M206948]인산코데인/[M223188]코데인인산염수화물/[M233006]아세트아미노펜DC500/600/[M246556]아세트아미노펜(미분화)/[M262287]아세트아미노펜과립,[08110]아편알카로이드계제제,-,20141104,코데인이모르핀으로대사되는과정이다양하고예측불가능하여모르핀으로인한독성이나타날위험이있음,정제,12세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
615,특정연령대금기,단일,D000181,Tadalafil,타다라필,-,[M095435]타다라필,[02590]기타의비뇨생식기관및항문용약,-,20140109,_,정제/구강붕해필름/산제,18세미만,-,-,-,-,-,-,-,-,-,-,-,정상,-,
505,특정연령대금기,단일,D000182,Tigecycline,타이제사이클린,-,[M215175]타이제사이클린,[06180]주로그람양성|음성균에작용하는것,-,20140109,치아발달기의환자(임신후반기|영아및8세이하의소아)에게이약을사용할경우영구적인치아변색을유발할수있음,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,8세이하,-,-,-,-,-,-,-,-,-,-,-,정상,-,
