DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
1899,임부금기,단일,D000149,Acarbose,아카보즈,-,[M085039]아카보즈,[03960]당뇨병용제,-,20121121,임부에대한안전성미확립.,정제,-,-,-,2등급,-,-,-,-,-,-,-,경구,정상,-,
1903,임부금기,단일,D000740,Acipimox,아시피목스,-,[M085111]아시피목스,-,-,20130712,동물실험에서고용량투여시모체에대한독성에의해태자미숙및저체중의발생빈도증가보고.,캡슐,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1905,임부금기,단일,D000346,Aflibercept,애플리버셉트,-,[M256584]애플리버셉트,-,-,20140915,임부에대한안전성미확립.동물실험에서생식독성보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,주사제(안과용),정상,-,
1917,임부금기,단일,D000145,Aminophylline,아미노필린,-,[M040346]아미노필린/[M223100]아미노필린수화물,-,-,20130712,동물실험에서기형발생보고및신생아구토|신경과민가능(테오필린).,정제/캡슐/용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1918,임부금기,단일,D000736,Anidulafungin,아니둘라펀진,-,[M234183]아니둘라펀진과당혼합물,-,-,20150520,임부에대한안전성미확립.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1924,임부금기,단일,D000551,Azelastine,아젤라스틴,-,[M084381]염산아젤라스틴/[M222870]아젤라스틴염산염,-,-,20130712,동물실험에서대량투여에의해기형발생보고.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1926,임부금기,단일,D000533,Basiliximab,바실릭시맙,-,[M088655]바실릭시맙,-,-,20140915,-,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1941,임부금기,단일,D000017,Buprenorpine,부프레노르핀,-,[M088415]염산부프레노르핀/[M101851]부프레노르핀,-,-,20081211,(주사)동물실험에서난산|서투른보육행동|출생자의생존률저하및체중증가억제보고.(패취)임부에대한안전성미확립.고용량의임상시험에서설하투여시신생아의금단증후군|자궁내성장저해및소두증보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/경피흡수제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1948,임부금기,단일,D000051,Carbidopa,카르비도파,-,[M089172]카르비도파/[M256275]카르비도파수화물,-,-,20130712,동물실험에서내장|골격기형발생보고.,정제/겔,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1949,임부금기,단일,D000174,Carbimazole,카르비마졸,-,[M081383]카르비마졸,-,-,20140915,태반통과함.임신초기(14주)및고용량투여시선천성피부무형성|두개안면기형(후비공폐쇄;안면기형)|배꼽탈장|식도폐쇄증|배꼽창자간막관기형|심실사이막결손이보고됨.임신가능성이있는여성은치료기간동안효과적으로피임해야함.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1950,임부금기,단일,D000371,Carboplatin,카르보플라틴,-,[M087020]카르보플라틴,-,-,20081211,임부에대한안전성미확립.몇몇실험체계에서태아독성과변이원성보고동물실험에서태자치사및최기형성보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1952,임부금기,단일,D000646,Cetuximab,세툭시맙,-,[M237903]세툭시맙(숙주:Sp2/0-Ag14|벡터:pdHL2-C225),-,-,20130523,임부에대한안전성미확립.동물실험에서용량의존적으로유산발생율증가관찰.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1953,임부금기,단일,D000377,Chlorthalidone,클로르탈리돈,-,[M040615]클로르탈리돈,-,-,20130712,저혈량증이나혈액점도증가|태반환류감소가능성.티아지드계이뇨제의사용은태아골수억제와혈소판감소증및태아·신생아황달과의관련성보고.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1954,임부금기,단일,D000339,Cinacalcet,시나칼세트,-,[A005339]시나칼세트,-,-,20150520,임부에대한안전성미확립.임신한랫드에게25mg/kg/day(인체노출량(하루180mg)의3배용량)로경구투여시|모체에서저칼슘혈증(분만시사망및출생후초기차산자사망)|체중증가억제|태아중량감소(차산자체중증가량감소)|섭이량감소및태반통과보고.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1955,임부금기,단일,D000341,Ciprofibrate,시프로피브레이트,-,[M085636]시프로피브레이트,-,-,20130712,동물실험에서고용량투여시기형발생가능성.,정제/캡슐,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1956,임부금기,단일,D000340,Cisplatin,시스플라틴,-,[M081325]시스플라틴,-,-,20081211,동물실험에서기형유발작용|태자치사율증가보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1957,임부금기,단일,D000054,Cladribine,클라드리빈,-,[M094161]클라드리빈,-,-,20081211,동물실험에서기형유발보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1897,임부금기,단일,D000146,Abiraterone,아비라테론,-,[M262177]아비라테론아세테이트(미분화),-,-,20130523,임부에대한안전성미확립.모체의호르몬농도변화로인한태아발달에위해가능성.,정제/필름코팅정,-,-,-,1등급,-,-,-,-,-,-,-,-,정상,-,
1901,임부금기,단일,D000031,Acemetacin,아세메타신,-,[M080670]아세메타신,[01140]해열.진통.소염제,-,20081211,동물실험에서최기형성보고.태아순환지속증|동맥관수축|동매관개존증|신생아신부전|태아장천공|양수과소증발생보고.동물실험에서비스테로이드성소염진통제는난산발생빈도증가|분만지연|태아생존율감소보고.,정제/캡슐,-,-,-,2등급,-,-,-,-,-,-,-,경구,정상,-,
1906,임부금기,단일,D000456,Alacepril,알라세프릴,-,[M091774]알라세프릴,[02140]혈압강하제,-,20081211,임신중기및말기에ACE저해제투여시양수과소증|태아및신생아사망|신생아저혈압|신부전|고칼륨혈증|두개골형성부진|사지의구축|두개안면변형보고.임신첫12주에ACE저해제투여시주요선천성기형발생위험성증가보고.,정제,-,-,-,2등급,-,-,-,-,-,-,-,경구,정상,-,
1908,임부금기,단일,D000253,Alemtuzumab,알렘투주맙,-,[M102584]알렘투주맙,-,-,20130523,임부에대한안전성미확립|이약의주성분은태반벽을통과할것이며이로인해태아에위험을야기할가능성이있음|동물시험에서생식독성이나타남,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,금기내용변경(2022.6.30.),정상,-,
1909,임부금기,단일,D000658,Alendronate,알렌드론산,-,[M200966]소듐알렌드로네이트/[M206239]알렌드론산나트륨/[M222873]알렌드론산나트륨수화물/[M253533]알렌드론산나트륨삼수화물,-,-,20130712,임부에대한안전성미확립.동물시험에서착상후생존율감소|고용량에서불완전골화증가|분만지연과분만실패|모체독성보고.,정제/경구용액제/경구용현탁액제/,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1911,임부금기,단일,D000744,Alogliptin,알로글립틴,-,[A005744]알로글립틴,-,-,20160129,임부에대한안전성미확립.,정제/필름코팅정,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1916,임부금기,단일,D000687,5-Aminolevulinicacid,5-아미노레불린산,-,[M251111]5-아미노레불린산염산염,-,-,20130712,임부에대한안전성미확립.동물실험에서배아독성보고.,용액용산제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1893,임부금기,단일,D000100,Progesterone,프로게스테론,-,[M040719]프로게스테론/[M086429]미분화프로게스테론/[M252921]프로게스테론(미분화),[02470]난포호르몬제및황체호르몬제,-,20081211,임부에대한안전성미확립.,연질캡슐제|현탁상/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제,-,-,-,1등급,-,-,-,-,-,-,-,경구,정상,-,
1898,임부금기,단일,D000033,Acamprosate,아캄프로세이트,-,[M102626]아캄프로세이트칼슘,-,-,20130712,임부에대한안전성미확립.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1900,임부금기,단일,D000739,Aceclofenac,아세클로페낙,-,[M040359]아세클로페낙,[01140]해열.진통.소염제,-,20081211,임부에대한안전성미확립.임신말기에투여시태아의동맥관조기폐쇄가능성.동물실험에서비스테로이드성소염진통제는난산발생빈도증가|분만지연|태아생존율감소보고.,정제/캡슐,-,-,-,2등급,-,-,-,-,-,-,-,경구,정상,-,
1904,임부금기,단일,D000019,Acitretin,아시트레틴,-,[M086538]분무건조아시트레틴25%,[03110]비타민A및D제,-,20081211,최기형성이있음.,캡슐,-,-,-,1등급,-,-,-,-,-,-,-,경구,정상,-,
1910,임부금기,단일,D000745,Almotriptan,알모트립탄,-,[M252241]알모트립탄말산염,-,-,20121121,임부에대한안전성미확립.,정제,-,-,-,2등급,-,-,-,-,-,-,-,경구,정상,-,
1923,임부금기,단일,D000741,Azacitidine,아자시티딘,-,[M248237]아자시티딘,-,-,20081211,최기형성가능성.동물실험에서중추신경계기형(뇌탈출/뇌헤르니아)|사지기형(소지증|내반족(clubfoot)|합지증|핍지증)그리고기타(소하악증|위벽파열|부종및늑골기형)등보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1925,임부금기,단일,D000148,Azosemide,아조세미드,-,[M084346]아조세미드,-,-,20130712,동물실험에서생후소실되는일시적인골격이상보고.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1931,임부금기,단일,D000437,Bendamustine,벤다무스틴,-,[A005437]벤다무스틴/[I012358]벤다무스틴염산염/[M118326]벤다무스틴염산염/[M280160]벤다무스틴염산염수화물,-,-,20130523,임부에대한안전성미확립.동물실험에서최기형성및유전독성보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1933,임부금기,단일,D000440,Benztropine,벤즈트로핀,-,[M050593]벤즈트로핀메실레이트/[M200496]메실산벤즈트로핀/[M247864]벤즈트로핀메실산염,-,-,20130712,임부에대한안전성미확립.,정제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제/용액주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1934,임부금기,단일,D000236,Bepotastine,베포타스틴,-,[M249154]베포타스틴칼슘이수화물/[M255128]베포타스틴베실산염/[M256601]베포타스틴살리실산염/[M262124]베포타스틴니코틴산염/[M263871]베포타스틴,-,-,20130712,임부에대한안전성미확립.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1894,임부금기,단일,D000597,3'-Deoxy-3'-Fluorothymidine(18F),3'-데옥시-3'-플루오로티미딘(18F),-,[M230797]3´-데옥시-3´-플루오로티미딘(18F)액/[M262548]3'-데옥시-3'-플루오로티미딘(18F)액,-,-,20150520,임부에대한안전성미확립.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1895,임부금기,단일,D000654,Abacavir,아바카비르,-,[I012292]아바카비르황산염/[M262968]아바카비르황산염,-,-,20150520,임부에대한안전성미확립.동물실험에서태반이행보고.랫드에서태자체중감소|부종|골격변화|기형|조기자궁내사망|출생지연등나타남.,정제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1896,임부금기,단일,D000738,Abatacept,아바타셉트,-,[M208741]아바타셉트,-,-,20130712,임부에대한안전성미확립.동물실험에서면역기능변형(갑상선과췌장의감염등)보고.,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,-,-,2등급,-,-,-,-,-,-,-,-,정상,-,
1907,임부금기,단일,D000254,Albendazole,알벤다졸,-,[M081226]알벤다졸,[06420]구충제,-,20081211,-,정제/경구용현탁액제,-,-,-,2등급,-,-,-,-,-,-,-,경구,정상,-,
