DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
1838,용량주의,단일,D000010,VancomycinHydrochloride,반코마이신염산염,-,[M020228]염산반코마이신/[M222847]반코마이신염산염/[M223574]반코마이신염산염,[06110]주로그람양성균에작용하는것,-,20251127,반코마이신2g(역가)(주사제의경우경구토여시에한함),캡슐/용액주사제/용액용분말주사제/용액용동결건조분말주사제,-,-,반코마이신2(주사제의경우경구투여시에한함)그램,-,-,-,-,-,-,-,-,-,정상,-,
1766,용량주의,단일,D000011,Valsartan,발사르탄,-,[M090403]발사르탄,[02140]혈압강하제,-,20141024,-,정제,-,-,발사르탄320밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
4515,용량주의,복합,D000018,BupropionHydrochloride,부프로피온염산염,[D001312]Naltrexone(날트렉손),[A000098]날트렉손/[I000166]부프로피온염산염/[M095783]염산부프로피온/[M233238]부프로피온염산염,[01230]자율신경제,-,20191111,부프로피온염산염360mg|날트렉손염산염32mg,서방성필름코팅정,-,-,부프로피온염산염360밀리그램/날트렉손염산염32밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1800,용량주의,단일,D000018,BupropionHydrochloride,부프로피온염산염,-,[I000166]부프로피온염산염/[M095783]염산부프로피온/[M233238]부프로피온염산염,[01170]정신신경용제,-,20141230,-,서방성필름코팅정,-,-,부프로피온염산염400밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1801,용량주의,단일,D000018,BupropionHydrochloride,부프로피온염산염,-,[I000166]부프로피온염산염/[M095783]염산부프로피온/[M233238]부프로피온염산염,[01170]정신신경용제,-,20141230,-,필름코팅정,-,-,부프로피온염산염450밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3586,용량주의,단일,D000020,Blonanserin,블로난세린,-,[M247117]블로난세린,[01170]정신신경용제,-,20180831,-,나정,-,-,블로난세린24밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1835,용량주의,단일,D000023,SunitinibMalate,수니티닙말산염,-,[M249050]수니티닙말산염,[04210]항악성종양제,-,20150331,-,캡슐,-,-,수니티닙87.5밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3595,용량주의,단일,D000035,Escitalopram,에스시탈로프람,-,[M234885]에스시탈로프람옥살산염/[M256262]에스시탈로프람,[01170]정신신경용제,-,20180831,-,정제,-,-,에스시탈로프람20밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1817,용량주의,단일,D000044,Oxybutynin,옥시부티닌,-,[M246163]옥시부티닌염산염/[M259129]옥시부티닌,[01230]자율신경제,-,20141230,-,서방성필름코팅정,-,-,옥시부티닌염산염30밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
1818,용량주의,단일,D000044,Oxybutynin,옥시부티닌,-,[M246163]옥시부티닌염산염/[M259129]옥시부티닌,[01230]자율신경제,-,20141230,-,나정,-,-,옥시부티닌염산염20밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
3574,용량주의,복합,D000046,Irbesartan,이르베사르탄,[D000455]Atorvastatin(아토르바스타틴),[I004369]아토르바스타틴칼슘수화물/[I004994]이르베사르탄/[M092285]이베사탄/[M093499]아토르바스타틴칼슘/[M213543]무수아토르바스타틴칼슘/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M244955]아토르바스타틴스트론튬/[M247057]아토르바스타틴칼슘염무수물/[M251687]아토르바스타틴칼슘/[M251853]이르베사르탄/[M255988]이르베사탄/[M256664]아토르바스타틴칼슘수화물/[M263837]아토르바스타틴,[02190]기타의순환계용약,-,20180831,이르베사르탄300mg,정제,-,-,이르베사르탄300밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
3575,용량주의,단일,D000046,Irbesartan,이르베사르탄,-,[I004994]이르베사르탄/[M092285]이베사탄/[M251853]이르베사르탄/[M255988]이르베사탄,[02140]혈압강하제,-,20180831,-,정제,-,-,300밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
2890,용량주의,복합,D000046,Irbesartan,이르베사르탄,[D000414]Hydrochlorothiazide(히드로클로로티아지드),[I004994]이르베사르탄/[M080768]히드로클로르치아지드/[M089923]히드로클로로치아짓/[M092285]이베사탄/[M097694]히드로클로로치아지드/[M223356]히드로클로로티아지드/[M251853]이르베사르탄/[M255988]이르베사탄,[02140]혈압강하제,-,20141024,이르베사탄300mg|히드로클로로티아지드25mg,정제,-,-,이르베사르탄300밀리그램/히드로클로로티아지드25밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
3600,용량주의,단일,D000047,Imidafenacin,이미다페나신,-,[M245357]이미다페나신,[02550]비뇨생식기관용제(성병예방제포함)/[02590]기타의비뇨생식기관및항문용약,-,20180831,-,정제/구강붕해정,-,-,0.4밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
5234,용량주의,복합,D000051,Carbidopa,카르비도파,[D000302]Levodopa(레보도파),[M040122]레보도파/[M089172]카르비도파/[M256275]카르비도파수화물,[01190]기타의중추신경용약,-,20191111,레보도파1|500mg,정제,-,-,레보도파1|500밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
4514,용량주의,복합,D000051,Carbidopa,카르비도파,[D000302]Levodopa(레보도파),[M040122]레보도파/[M089172]카르비도파/[M256275]카르비도파수화물,[01190]기타의중추신경용약,-,20191111,레보도파2|000mg,장관용겔,-,-,레보도파2|000밀리그램,-,-,-,-,-,-,-,-,복합제,정상,-,
1785,용량주의,단일,D000056,Chlordiazepoxide,클로르디아제폭시드,-,[M088403]클로르디아제폭시드/[M223206]클로르디아제폭시드염산염,[01170]정신신경용제,-,20141230,-,정제,-,-,300밀리그램,-,-,-,-,-,-,-,-,-,정상,-,
