DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
465,투여기간주의,단일,D000078,Granisetron,그라니세트론,-,[M093643]염산그라니세트론/[M245313]그라니세트론/[M246726]그라니세트론염산염/[M254683]그라니세트론염산염,[02350]최토제|진토제,-,20150331,-,경피흡수제,-,7일,-,-,-,-,-,-,-,-,-,-,정상,-,
466,투여기간주의,단일,D000203,RamosetronHydrochloride,라모세트론염산염,-,[M246846]라모세트론염산염/[M255325]라모세트론염산염,[02350]최토제|진토제,-,20150331,-,구강붕해정/정제/구강붕해필름,-,5일,-,-,-,-,-,-,-,-,-,항암제투여로인한구역및구토의방지에쓰는제품에한함,정상,-,
4313,투여기간주의,단일,D000221,LoteprednolEtabonate,로테프레드놀에타보네이트,-,[M245318]로테프레드놀에타보네이트,[01310]안과용제,-,20190621,-,현탁액점안제,-,14일,-,-,-,-,-,-,-,-,-,-,정상,-,
474,투여기간주의,단일,D000083,Nimesulide,니메술리드,-,[M082649]니메술리드,[01140]해열.진통.소염제,-,20150507,-,정제,-,15일,-,-,-,-,-,-,-,-,-,-,정상,-,
4324,투여기간주의,단일,D000104,Plerixafor,플레릭사포르,-,[M248943]플레릭사포르,[03390]기타의혈액및체액용약,-,20190621,-,용액주사제,-,4일,-,-,-,-,-,-,-,-,-,-,정상,-,
460,투여기간주의,단일,D000271,Zolpidemtartrate,졸피뎀타르타르산염,-,[M088392]주석산졸피뎀/[M222883]졸피뎀타르타르산/[M239566]졸피뎀타르타르산염/[M261178]졸피뎀타르타르산염,[01120]최면진정제,-,20141230,-,정제/서방성필름코팅정,-,28일,-,-,-,-,-,-,-,-,-,-,정상,-,
471,투여기간주의,단일,D000274,Ketorolac,케토롤락,-,[M084703]케토롤락트로메타민/[M222885]케토롤락트로메타민염,[01140]해열.진통.소염제,-,20150507,-,정제,-,7일,-,-,-,-,-,-,-,-,-,-,정상,-,
472,투여기간주의,단일,D000274,Ketorolac,케토롤락,-,[M084703]케토롤락트로메타민/[M222885]케토롤락트로메타민염,[01140]해열.진통.소염제,-,20150507,-,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,2일,-,-,-,-,-,-,-,-,-,-,정상,-,
5396,투여기간주의,단일,D000649,Senna,센나(생약),-,[M040297]센나/[M081395]센나열매건조엑스/[M082795]센나엽,[02380]하제|완장제,-,20221028,-,산제,-,7일,-,-,-,-,-,-,-,-,-,주성분함량:산제3g,정상,-,
4523,투여기간주의,단일,D000701,Phendimetrazinetartrate,펜디메트라진타르타르산염,-,[M088437]주석산펜디메트라진/[M214394]주석산펜디메트라진/[M230784]펜디메트라진타르타르산염,[01230]자율신경제,-,20191111,-,정제,-,28일,-,-,-,-,-,-,-,-,-,-,정상,-,
4522,투여기간주의,단일,D000714,Mazindol,마진돌,-,[M092419]마진돌,[01230]자율신경제,-,20191111,-,정제,-,28일,-,-,-,-,-,-,-,-,-,-,정상,-,
4303,투여기간주의,단일,D000736,Anidulafungin,아니둘라펀진,-,[M234183]아니둘라펀진과당혼합물,[06290]기타의화학요법제,-,20190621,-,용액용동결건조분말주사제,-,35일,-,-,-,-,-,-,-,-,-,-,정상,-,
6148,투여기간주의,복합,D000764,SodiumPhosphateDibasicDihydrate,인산일수소나트륨,[D000576]SodiumdihydrogenPhosphate(인산이수소나트륨),[M040513]인산일수소나트륨/[M051286]인산이수소나트륨/[M083252]인산이수소나트륨일수화물/[M089733]인산수소나트륨칠수화물/[M228832]인산수소나트륨무수물/[M232835]인산이수소나트륨수화물/[M249575]인산일수소나트륨수화물,[02380]하제|완장제,-,20250530,-,관장제,-,7일,-,-,-,-,-,-,-,-,-,-,정상,-,
4521,투여기간주의,단일,D000795,Phentermine,펜터민,-,[M099629]염산펜터민/[M219108]염산펜터민/[M238557]펜터민염산염,[01230]자율신경제,-,20191111,-,정제/경질캡슐제|산제/서방성캡슐제|펠렛,-,28일,-,-,-,-,-,-,-,-,-,-,정상,-,
6149,투여기간주의,복합,D000893,Chlorpheniramine,클로르페니라민,[D001767]DipotassiumGlycyrrhizinate(글리시리진산이칼륨)/[D001768]Naphazoline(나파졸린),[A001682]나파졸린/[M040616]말레인산클로르페니라민/[M050213]말레인산덱스클로르페니라민/[M051529]클로르페니라민/[M082701]디엘말레인산클로르페니라민/[M083325]디말레인산클로르페니라민/[M099959]말레인산클로로페니라민/[M100018]말레산클로르페니라민/[M100476]디말레인산클로르페니라민/[M101581]디엘말레인산클로르페니라민/[M200471]말레인산클로르페니라민제피과립/[M202197]D-말레인산클로르페니라민/[M202204]DL-말레인산클로르페니라민/[M203913]클로르페니라민말레인산염/[M212847]클로르페니라민말레이트/[M223211]클로르페니라민말레산염/[M223212]d-클로르페니라민말레산염/[M223213]클로르페니라민말레산염산/[M223214]클로르페니라민말레산염정/[M223215]클로르페니라민말레산염주사액/[M226783]dl-클로르페니라민말레산염/[M249715]덱스클로르페니라민말레산염/[M251936]덱스클로르페니라민말레이트/[M256386]글리시리진산이칼륨,[01320]이비과용제,-,20250530,-,일반액상분무제,-,7일,-,-,-,-,-,-,-,-,-,-,정상,-,
2946,투여기간주의,단일,D000982,Naproxen,나프록센,-,[M050116]나프록센/[M070724]나프록센나트륨/[M103210]소디움나프록센/[M200898]소듐나프록센,[01140]해열.진통.소염제,-,20150507,-,용액주사제/유화주사제/용액용분말주사제/서방성현탁액용분말주사제/용액용동결건조분말주사제/현탁액용동결건조분말주사제/서방성현탁액용동결건조분말주사제/리포좀화현탁액용동결건조분말주사제/현탁액주사제/서방성현탁액성주사제,-,3일,-,-,-,-,-,-,-,-,-,-,정상,-,
5219,투여기간주의,단일,D001035,Linezolid,리네졸리드,-,[M093034]리네졸리드,[06110]주로그람양성균에작용하는것,-,20211119,-,용액주사제/정제/수액제,-,28일,-,-,-,-,-,-,-,-,-,-,정상,-,
467,투여기간주의,단일,D000425,Metoclopramide,메토클로프라미드,-,[M050465]메토클로프라미드/[M050466]염산메토클로프라미드/[M223013]메토클로프라미드염산염수화물,[02390]기타의소화기관용약,-,20150331,-,정제,-,5일,-,-,-,-,-,-,-,-,-,-,정상,-,
468,투여기간주의,복합,D000425,Metoclopramide,메토클로프라미드,[D000803]Pancreatin(판크레아틴),[M040678]판크레아틴/[M050465]메토클로프라미드/[M050466]염산메토클로프라미드/[M082071]판크레아틴장용과립/[M089689]판크레아틴I/[M089690]판크레아틴II/[M102500]판크레아틴장용성제피정/[M223013]메토클로프라미드염산염수화물/[M257265]판크레아틴장용성제피펠렛/[M261343]판크레아틴Ⅰ/[M262958]판크레아틴장용성제피미세정,[02390]기타의소화기관용약,-,20150331,-,정제,-,5일,-,-,-,-,-,-,-,-,-,-,정상,-,
