DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
5254,노인주의,단일,D000020,Blonanserin,블로난세린,-,[M247117]블로난세린,-,-,20220527,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
533,노인주의,단일,D000810,Dothiepin,도티에핀,-,[M081861]염산도치에핀,-,-,20150728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4912,노인주의,단일,D000026,Cyproheptadine,시프로헵타딘,-,[M040335]염산시프로헵타딘/[M081195]오로트산시프로헵타딘/[M094432]시프로헵타딘/[M223093]시프로헵타딘염산염수화물/[M254960]시프로헵타딘오로트산염수화물,-,-,20200924,-,정제/추어블정(저작정)/캡슐/나정/경질캡슐제|산제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5253,노인주의,단일,D000030,Amisulpride,아미설프리드,-,[M089148]아미설프리드,-,-,20220527,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
534,노인주의,단일,D000811,Quinupramine,퀴누프라민,-,[M082061]퀴누프라민,-,-,20150728,노인에서의삼환계항우울제사용은기립성저혈압|비틀거림|항콜린작용에의한구갈|배뇨곤란|변비|안내압항진등이나타나기쉬움으로소량으로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4894,노인주의,단일,D000044,Oxybutynin,옥시부티닌,-,[M246163]옥시부티닌염산염/[M259129]옥시부티닌,-,-,20200924,-,정제/나정/서방성필름코팅정/경구용액제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4895,노인주의,단일,D000047,Imidafenacin,이미다페나신,-,[M245357]이미다페나신,-,-,20200924,-,정제/구강붕해정/필름코팅정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
11,노인주의,복합,D000056,Chlordiazepoxide,클로르디아제폭시드,[D000585]Clidinium(클리디늄),[M088403]클로르디아제폭시드/[M223206]클로르디아제폭시드염산염/[M253729]클리디늄브롬화물,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
1,노인주의,단일,D000056,Chlordiazepoxide,클로르디아제폭시드,-,[M088403]클로르디아제폭시드/[M223206]클로르디아제폭시드염산염,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4915,노인주의,단일,D000134,Brompheniramine,브롬페니라민,-,[M050657]말레인산브롬페니라민/[M247022]브롬페니라민말레산염,-,-,20200924,-,캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5212,노인주의,단일,D000173,Ziprasidone,지프라시돈,-,[M251493]지프라시돈염산염일수화물,-,-,20210715,-,캡슐,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
14,노인주의,단일,D000178,Quazepam,쿠아제팜,-,[M102600]쿠아제팜,-,-,20150728,노인에서의장기지속형벤조다이아제핀사용은운동실조|과진정등이나타나기쉬움으로소량부터신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5207,노인주의,단일,D000180,Clozapine,클로자핀,-,[M081194]클로자핀,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5197,노인주의,단일,D000206,Pelubiprofen,펠루비프로펜,-,[M210533]펠루비프로펜,-,-,20210715,-,정제/서방정,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
5201,노인주의,단일,D000211,Proglumetacin,프로글루메타신,-,[M082031]말레인산프로글루메타신/[M256432]프로글루메타신말레산염,-,-,20210715,-,정제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3619,노인주의,단일,D000213,Pimozide,피모짓,-,[M071691]피모짓,-,-,20180831,노인에서의정형항정신병약물사용은추체외로증상|항콜린성부작용등이나타나기쉬우므로신중투여,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
4904,노인주의,단일,D000226,Mequitazine,메퀴타진,-,[M050446]메퀴타진,-,-,20200924,-,정제/캡슐/시럽/나정/액상시럽제,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
