DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
2590,효능군중복,단일,D000006,Morphine,모르핀,-,[M040182]염산모르핀/[M040184]황산모르핀/[M103284]모르핀/[M208615]황산모르핀/[M223034]모르핀황산염수화물/[M230907]모르핀염산염수화물,[08110]아편알카로이드계제제,마약류아편유사제,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,아편알칼로이드및유도체,
2597,효능군중복,단일,D000007,Midazolam,미다졸람,-,[M088434]미다졸람/[M222760]미다졸람,[01120]최면진정제,정신신경용제,20130510,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,Benzodiazepinereceptoragonist,
2941,효능군중복,단일,D000011,Valsartan,발사르탄,-,[M090403]발사르탄,[02140]혈압강하제,혈압강하작용의약품,20121226,안지오텐신전환효소억제제(Angiotensin-Converting-Enzymeinhibitor)와안지오텐신수용체차단제(AngiotensinReceptorBlocker)에해당하는성분이2개이상인경우에도효능군중복에해당,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,ARB,
2713,효능군중복,단일,D000012,Bezafibrate,베자피브레이트,-,[M080268]베자피브레이트,[02180]동맥경화용제,지질저하제,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,Fibrate계,
2709,효능군중복,단일,D000017,Buprenorpine,부프레노르핀,-,[M088415]염산부프레노르핀/[M101851]부프레노르핀,[02640]진통.진양.수렴.소염제/[01140]해열.진통.소염제,정신신경용제,20130722,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,기타,
2530,효능군중복,단일,D000021,Celiprolol,셀리프롤롤,-,[M257553]셀리프롤롤염산염,[02190]기타의순환계용약,혈압강하작용의약품,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,BetaBlockers,
2685,효능군중복,단일,D000026,Cyproheptadine,시프로헵타딘,-,[M040335]염산시프로헵타딘/[M081195]오로트산시프로헵타딘/[M094432]시프로헵타딘/[M223093]시프로헵타딘염산염수화물/[M254960]시프로헵타딘오로트산염수화물,[01410]항히스타민제,호흡기관용약,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,항히스타민제,
2656,효능군중복,단일,D000027,Simvastatin,심바스타틴,-,[M089710]심바스타틴,[02180]동맥경화용제,지질저하제,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,HMG-CoA환원효소저해제,
2620,효능군중복,단일,D000030,Amisulpride,아미설프리드,-,[M089148]아미설프리드,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,항정신병제(benzamides계),
2464,효능군중복,단일,D000031,Acemetacin,아세메타신,-,[M080670]아세메타신,[01140]해열.진통.소염제,해열진통소염제,20120831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,비스테로이드성소염제,
2695,효능군중복,단일,D000035,Escitalopram,에스시탈로프람,-,[M234885]에스시탈로프람옥살산염/[M256262]에스시탈로프람,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,SSRI,
4877,효능군중복,단일,D000037,Exenatide,엑세나타이드,-,[I012174]엑세나타이드/[M233532]엑세나타이드,[03960]당뇨병용제,당뇨병용제,20200924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,GLP-1수용체효능제(Glucagon-likepeptide-1receptoragonists),
2554,효능군중복,단일,D000041,Barnidipine,바니디핀,-,[M070482]염산바니디핀속방립/[M080649]염산바니디핀서방립/[M080655]염산바니디핀,[02140]혈압강하제,혈압강하작용의약품,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,CCB:Dihydropyridines,
2642,효능군중복,단일,D000811,Quinupramine,퀴누프라민,-,[M082061]퀴누프라민,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,삼환계항우울제(TCA),
2585,효능군중복,단일,D000046,Irbesartan,이르베사르탄,-,[I004994]이르베사르탄/[M092285]이베사탄/[M251853]이르베사르탄/[M255988]이르베사탄,[02140]혈압강하제,혈압강하작용의약품,20121226,안지오텐신전환효소억제제(Angiotensin-Converting-Enzymeinhibitor)와안지오텐신수용체차단제(AngiotensinReceptorBlocker)에해당하는성분이2개이상인경우에도효능군중복에해당,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,ARB,
2939,효능군중복,단일,D000052,Carteolol,카르테올롤,-,[M080501]염산카르테올롤/[M223181]카르테올롤염산염,[02120]부정맥용제,혈압강하작용의약품,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,BetaBlockers,
2626,효능군중복,단일,D000056,Chlordiazepoxide,클로르디아제폭시드,-,[M088403]클로르디아제폭시드/[M223206]클로르디아제폭시드염산염,[01170]정신신경용제,정신신경용제,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,항불안제(benzodiazepine계),
2717,효능군중복,단일,D000058,Clinofibrate,클리노피브레이트,-,[M040622]클리노피브레이트,[02180]동맥경화용제,지질저하제,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,Fibrate계,
2504,효능군중복,단일,D000060,Tenoxicam,테녹시캄,-,[M082086]테녹시캄,[01140]해열.진통.소염제,해열진통소염제,20120831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,비스테로이드성소염제,
2578,효능군중복,단일,D000062,Temocapril,테모카프릴,-,[M252702]테모카프릴염산염,[02140]혈압강하제,혈압강하작용의약품,20121226,안지오텐신전환효소억제제(Angiotensin-Converting-Enzymeinhibitor)와안지오텐신수용체차단제(AngiotensinReceptorBlocker)에해당하는성분이2개이상인경우에도효능군중복에해당,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,ACEinhibitors,
2506,효능군중복,단일,D000066,Tolmetin,톨메틴,-,[M211567]톨메틴나트륨,[01140]해열.진통.소염제,해열진통소염제,20120831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,비스테로이드성소염제,
2666,효능군중복,단일,D000070,Fenoterol,페노테롤,-,[M051699]브롬화수소산페노테롤/[M222898]페노테롤브롬화수소산염,[02220]진해거담제,호흡기관용약,20131227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,베타수용체효능제,
2477,효능군중복,단일,D000071,Fenoprofen,페노프로펜,-,[M081085]페노프로펜칼슘,[01140]해열.진통.소염제,해열진통소염제,20120831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,비스테로이드성소염제,
2714,효능군중복,단일,D000076,Gemfibrozil,겜피브로질,-,[M081453]겜피브로질,[02180]동맥경화용제,지질저하제,20121226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,Fibrate계,
4854,효능군중복,단일,D000079,Glipizide,글리피지드,-,[M256618]글리피지드,[03960]당뇨병용제,당뇨병용제,20200924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,설포닐우레아계(Sulfonylureas),
