DUR일련번호,DUR유형,단일복합구분코드,DUR성분코드,DUR성분명영문,DUR성분명,복합제,관계성분,약효분류코드,효능군,고시일자,금기내용,제형,연령기준,최대투여기간,1일최대용량,등급,병용금기단일복합구분코드,병용금기DUR성분코드,병용금기DUR성분영문명,병용금기DUR성분명,병용금기복합제,병용금기관계성분,병용금기약효분류,비고,상태,계열명,
3268,첨가제주의,단일,D001041,Lactose,유당,-,[I005101]유당수화물/[I006329]무수유당/[I008990]셀락토오스/[I009540]저유당탈지우유/[I012678]서양승마58%에탄올연조엑스(건조엑스로서5~10→1)·유당혼합건조물(1:1)/[M007111]유당/[M040484]유당/[M081491]수화유당분무공정규격/[M081664]니트로글리세린10%유당/[M081842]무수유당/[M082278]조유당/[M083806]저유당탈지분유/[M084968]이소소르비드5모노니트레이트유당혼합물/[M086725]유당일수화물/[M088727]셀락토오스/[M089296]유당:미결정셀룰로오스(75:25)혼합물/[M089366]일수산화락토오스/[M090488]스프레이건조유당/[M091218]셀락토스80/[M091280]저유당단백질/[M092521]디-유당/[M093462]락토스모노하이드레이트/[M093547]셀룰로오스유당분말/[M093779]셀락토스/[M095386]락토오스일수화물/[M095387]일수화물유당/[M095438]유당일수화물(분사건조품)/[M095736]미분화유당/[M099012]녹색산화철:유당/[M099013]흑색산화철:유당/[M102249]유당ㆍ미결정셀룰로오스과립/[M102921]락토오스/[M103736]흑색산화철:유당(95:5)/[M103878]셀락토오스80/[M104121]전분·유당또는옥수수전분/[M104322]희석된니트로글리세린(니트로글리세린10%유당)/[M104323]희석된니트로글리세린(니트로글리세린2%유당)/[M104411]유당(63㎛미만)/[M104412]유당(100㎛미만)/[M104844]직타용유당/[M200606]미세화유당/[M200708]분무건조유당/[M200892]셀룰로오스유당가루/[M202199]D-유당/[M203166]미분유당/[M208285]유당모노하이드레이트/[M210815]셀락토오즈/[M215553]유당일수화물(Pharmatose200M)/[M220734]유당일수화물/[M221488]직타유당/[M223367]유당수화물/[M225609]요오드화칼륨/유당혼합물/[M227968]유당수화물/[M236431]유당일수화물(분사건조품)/[M242752]유당미결정셀룰로오스100/[M243911]유당일수화물(200mesh)/[M243912]유당일수화물(스프레이건조)/[M243915]유당일수화물(200mesh)/[M243916]유당일수화물(스프레이건조)/[M243919]유당일수화물(200mesh)/[M243920]유당일수화물(스프레이건조)/[M246233]미분화유당수화물/[M246234]미분화유당일수화물/[M246495]유당무수물/[M246959]셀락토즈/[M246974]유당수화물:미결정셀룰로오스(75:25)혼합물/[M247245]락토오스모노하이드레이트/[M247862]유당수화물(200mesh)/[M247863]유당수화물(스프레이건조)/[M251254]저유당유단백질/[M254574]락토오스/셀룰로오스/히드록시프로필메칠셀룰로오스/호호바에스터/아스코빌팔미테이트/울트라마린/토코페릴아세테이트/[M254581]유당수화물/[M254582]유당수화물(분사건조품)/[M254677]락토오스/셀룰로오스/하이드록시프로필메칠셀룰로오스/호호바에스터/아스코빌팔미테이트/울트라마린/토코페릴아세테이트/[M257420]락토오스/셀룰로오스/히드록시프로필메틸셀룰로오스/호호바에스터/아스코빌팔미테이트/울트라마린/토코페릴아세테이트/[M258744]유당수화물(미분화SV003)/[M258745]유당수화물(미분화SV010)/[M258746]유당수화물(미분화ML006)/[M260153]유당수화물(100mesh)/[M260416]유당미결정셀룰로오스25/[M261390]서양승마58%에탄올연조엑스(건조엑스로서5~10→1)·유당혼합건조물(1:1)/[M261547]유당·미결정셀룰로오스25/[M262995]서양승마58%에탄올연조엑스(건조엑스로서5∼10→1)·유당혼합건조물(1:1)/[M263383]유당수화물(SuperTab11SD)/[M263532]레스트애로우근엑스(5∼8→1)·유당수화물혼합물(4:1),-,-,20170418,이약은유당을함유하고있으므로|갈락토오스불내성(galactoseintolerance)|Lapp유당분해효소결핍증(Lapplactasedeficiency)또는포도당-갈락토오스흡수장애(glucose-galactosemalabsorption)등의유전적인문제가있는환자에게는투여하면안된다.,-,-,-,-,-,-,-,-,-,-,-,-,유당(무수유당및유당수화물등)(경구제및주사제에한함),정상,-,
3269,첨가제주의,단일,D001042,BenzylAlcohol,벤질알코올,-,[I004506]벤질알코올/[M258702]1.1%벤질알코올용액/[M102727]벤질알콜/[M040220]벤질알코올,-,-,20170510,○경고벤질알코올은조숙아에게서치명적인가쁜호흡증상과연관이있는것으로보고되었다.○다음환자에는투여하지말것.신생아|미숙아,-,-,-,-,-,-,-,-,-,-,-,-,주사제에한함,정상,-,
3270,첨가제주의,단일,D001043,SaccharinSodium,삭카린나트륨,-,[M020078]삭카린/[M243864]삭카린나트륨수화물/[M084393]용성삭카린/[M095164]사카린나트륨/[M099542]삭카린나트륨산제/[M099651]소디움사카린/[M200807]사카린/[M203269]사카린소듐/[M203271]삭카린소듐/[M207723]삭카린산나트륨/[M220413]삭카린나트륨/[M223363]사카린나트륨수화물/[M239874]삭카린나트륨/[M243860]삭카린나트륨수화물/[M040254]삭카린나트륨(가용성),-,-,20170510,○기타동물실험에서발암성이있는것으로나타난삭카린을함유하고있어건강에해로울수있다.(감미제로서삭카린이함유되어있다.),-,-,-,-,-,-,-,-,-,-,-,-,경구제에한함,정상,-,
3273,첨가제주의,단일,D001044,Aspartame,아스파탐,-,[M081837]아스파탐/[I004356]아스파탐,-,-,20170511,□1일허용량제한아스파탐함량을WHO권장량(40mg/kg/1일)이하로조정(가능한한최소량사용)할것.60kg성인:1일최대복용량2.4g□사용상의주의사항○경고이약에함유되어있는인공감미제아스파탐은체내에서분해되어페닐알라닌으로대사되므로|페닐알라닌의섭취를규제할필요가있는유전성질환인페닐케톤뇨증환자에는투여하지말것.,-,-,-,-,-,-,-,-,-,-,-,-,경구제에한함,정상,-,
3274,첨가제주의,단일,D001045,SodiumBisulfite,아황산수소나트륨,-,[I002106]메나디온아황산수소나트륨/[M264043]조아황산수소나트륨/[I003807]피로아황산나트륨/[M040378]아황산수소나트륨/[M050409]메나디온아황산수소나트륨/[M071137]중아황산나트륨/[M080883]피로아황산나트륨/[M081265]메타아황산수소나트륨(메타중아황산나트륨)/[M084690]메타중아황산나트륨/[M090005]산성아황산나트륨/[M096083]메타중아황산나트륨/[M200926]소듐바이설페이트메나디온/[M203482]아황산수소소듐/[M226807]메타아황산수소나트륨/[I003758]아황산수소나트륨,-,-,20170511,○다음환자에는신중히투여할것.아황산수소나트륨이함유되어있으므로아황산아나필락시와같은알레르기를일으킬수있으며|일부감수성환자에서는생명을위협할정도또는이보다약한천식발작을일으킬수있다.일반사람에서의아황산감수성에대한총괄적인빈도는알려지지않았으나낮은것으로보이며아황산감수성은비천식환자보다천식환자에서빈번한것으로나타났다.,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3291,첨가제주의,단일,D001046,SoybeanOil,대두유,-,[I003880]콩기름/[M040600]콩기름/[M080392]콩기름불검화물/[M081583]정제대두유/[M086212]대두유/[M251255]정제콩기름/[M093777]부분수소화콩기름/[M096562]정제올리브유와정제대두유혼합물/[M201598]정제올리브유ㆍ정제대두유혼합물/[M220329]콩기름(대두유)/[M093776]수소화콩기름,-,-,20170511,○다음환자에는신중히투여할것.고지단백혈증|당뇨병성고지질혈증및췌장염등지방대사이상환자또는지질성유제를신중히투여해야하는환자○일반적주의지방과부하로특별한위험이예상되는환자에게이약을투여할때혈장지질치를점검할것을권장한다.이점검을통해지방의체외배설이불충분하다고판단될경우에는이약의투여를적절히조절한다.환자가다른정주용지질제를동시에투여받고있다면이약중의부형제로혼재되어있는지질의양을고려하여그지질제의투여량을감소해야한다.,-,-,-,-,-,-,-,-,-,-,-,-,경구제|주사제및질연질캡슐제에한함,정상,-,
3275,첨가제주의,단일,D001046,SoybeanOil,대두유,-,[I003880]콩기름/[M040600]콩기름/[M080392]콩기름불검화물/[M081583]정제대두유/[M086212]대두유/[M251255]정제콩기름/[M093777]부분수소화콩기름/[M096562]정제올리브유와정제대두유혼합물/[M201598]정제올리브유ㆍ정제대두유혼합물/[M220329]콩기름(대두유)/[M093776]수소화콩기름,-,-,20170511,○다음환자에는투여하지말것1)대두유에과민하거나알레르기병력이있는환자2)콩또는땅콩에과민증이있는환자,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3277,첨가제주의,단일,D001047,EveningPrimroseOil,월견초종자유(달맞이꽃종자유),-,[I001385]월견초유/[M082480]달맞이꽃종자유/[M092084]월견초유/[M246622]달맞이꽃오일/[M230344]달맞이꽃종자유/[M233139]조달맞이꽃종자유/[M207663]월견초종자유,-,-,20170511,○부작용이약은월견초종자유를함유하고있으므로발진등의알레르기반응과복통이나타날수있다.,-,-,-,-,-,-,-,-,-,-,-,-,경구제에한함,정상,-,
3278,첨가제주의,단일,D001048,Thimerosal,치메로살,-,[M203973]티메로살/[M040555]치메로살,-,-,20170511,○다음환자에는투여하지말것.치메로살에과민증환자○부작용이약은치메로살(유기수은제제)을함유하고있어과민반응이일어날수있다.,-,-,-,-,-,-,-,-,-,-,-,-,-,정상,-,
3279,첨가제주의,단일,D001049,Caramel,카라멜,-,[I000303]카라멜/[M060260]카라멜/[M089961]카라멜색소/[M263657]카라멜색소분말2호/[M104262]카라멜색소비에이/[M252500]카라멜색소비에이/[M260437]카라멜색소분말/[M093997]카라멜E150,-,-,20170511,○다음환자에는신중히투여할것.이약은카라멜을함유하고있으므로이성분에과민하거나알레르기병력이있는환자에는신중히투여한다.,-,-,-,-,-,-,-,-,-,-,-,-,경구제에한함,정상,-,
